PID,condition,gender,education,age,ethnicity,TP1,TP2,TP3,TP4,GAAIS1,GAAIS2,GAAIS3,GAAIS4,GAAIS5,GAAIS6,GAAIS7,GAAIS8,GAAIS9,GAAIS10,GAAIS11,GAAIS12,GAAIS13,GAAIS14,GAAIS15,GAAIS16,GAAIS17,GAAIS18,GAAIS19,GAAIS20,GAAIS21,TRUST_GP1,TRUST_GP2,TRUST_GP3,TRUST_GP4,TRUST_GP5,TRUST_GP6,TRUST_GP7,TRUST_GP8,TRUST_GP9,TRUST_GP10,TRUST_GP11,MAILS1,MAILS2,MAILS3,MAILS4,MAILS5,MAILS6,MAILS7,MAILS8,MAILS9,MAILS10,MAILS11,MAILS12,MAILS13,MAILS14,MAILS15,MAILS16,MAILS17,MAILS18,LIKELIHOOD_ACCEPT,ECZEMA_EXPERIENCE,ECZEMA_SEV,XAI_EVAL1,XAI_EVAL2,XAI_EVAL3,XAI_EVAL4,XAI_EVAL5,XAI_EVAL6,XAI_EVAL7,XAI_EVAL8,TRUST1,TRUST2,TRUST3,TRUST4,TRUST5,TRUST6,TRUST7,TRUST8,TRUST9,TRUST10,TRUST11,TRUST12,ABILITY1,ABILITY2,ABILITY3,ABILITY4,BENEVOLENCE1,BENEVOLENCE2,BENEVOLENCE3,BENEVOLENCE4,BENEVOLENCE5,INTEGRITY1,INTEGRITY2,INTEGRITY3,INTEGRITY4,INTEGRITY5,SDS_RELIABILITY1,SDS_RELIABILITY2,SDS_RELIABILITY3,SDS_RELIABILITY4,SDS_RELIABILITY5,SDS_RELIABILITY6,SDS_RELIABILITY7,SDS_COMPETENCE1,SDS_COMPETENCE2,SDS_COMPETENCE3,SDS_COMPETENCE4,SDS_UNDERSTANDABILITY1,SDS_UNDERSTANDABILITY2,SDS_UNDERSTANDABILITY3,SDS_UNDERSTANDABILITY4,SDS_UNDERSTANDABILITY5,SDS_INTEGRITY1,SDS_INTEGRITY2,SDS_BENEVOLENCE1,SDS_BENEVOLENCE2,SDS_BENEVOLENCE3,SDS_BENEVOLENCE4,SDS_BENEVOLENCE5,SDS_AMIABILITY1,SDS_AMIABILITY2,SDS_AMIABILITY3,SDS_AMIABILITY4,PANAS1,PANAS2,PANAS3,PANAS4,PANAS5,PANAS6,PANAS7,PANAS8,PANAS9,PANAS10,PANAS11,PANAS12,PANAS13,PANAS14,PANAS15,PANAS16,PANAS17,PANAS18,PANAS19,PANAS20,EMBODIMENT1,EMBODIMENT2,EMBODIMENT3,EMBODIMENT4,EMBODIMENT5,EMBODIMENT6,EMBODIMENT7,EMBODIMENT8,EMBODIMENT9,EMBODIMENT10,EMBODIMENT11,EMBODIMENT12,EMBODIMENT13,EMBODIMENT14,EMBODIMENT15,EMBODIMENT16,MPS_PHYS1,MPS_PHYS2,MPS_PHYS3,MPS_PHYS4,MPS_PHYS5,MPS_SOCIAL1,MPS_SOCIAL2,MPS_SOCIAL3,MPS_SOCIAL4,MPS_SOCIAL5,MPS_SELF1,MPS_SELF2,MPS_SELF3,MPS_SELF4,MPS_SELF5,COMRADE_SATISFACTION1,COMRADE_SATISFACTION2,COMRADE_SATISFACTION3,COMRADE_SATISFACTION4,COMRADE_SATISFACTION5,COMRADE_SATISFACTION6,COMRADE_SATISFACTION7,COMRADE_SATISFACTION8,COMRADE_SATISFACTION9,COMRADE_SATISFACTION10,COMRADE_CONFIDENCE1,COMRADE_CONFIDENCE2,COMRADE_CONFIDENCE3,COMRADE_CONFIDENCE4,COMRADE_CONFIDENCE5,COMRADE_CONFIDENCE6,COMRADE_CONFIDENCE7,COMRADE_CONFIDENCE8,COMRADE_CONFIDENCE9,COMRADE_CONFIDENCE10,PROFESSIONALISM1,PROFESSIONALISM2,PROFESSIONALISM3,PROFESSIONALISM4,PROFESSIONALISM5,ANTHRO1,ANTHRO2,ANTHRO3,ANTHRO4,INTELLIGENCE1,INTELLIGENCE2,INTELLIGENCE3,INTELLIGENCE4,INTELLIGENCE5
1,1,2,5,38,1,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,6,5,7,6,4,6,5,5,5,5,6,4,5,4,6,6,6,6,6,5,5,5,5,5,5,6,5,5,5,5,6,5,62,2,,4,4,4,4,4,4,3,4,4,6,2,3,2,4,4,2,4,3,4,3,4,5,5,5,6,4,2,7,5,5,5,7,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,3,2,2,3,3,1,3,4,4,2,3,2,2,2,2,2,2,2,2,4,3,2,4,2,4,2,4,3,3,3,6,2,2,2,5,3,3,2,4,4,4,3,2,4,4,4,3,4,4,4,3,3,3,3,4,2,2,3,2,4,4,1,1,1,3,1,1,2,1,4,3,3,3,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,1,1,3,19,8,5,3,3,3,3,3,2,2,6,5,6,6,4,5,4,5,6,6,1,1,1,1,5,5,6,2,6,7,7,2,7,2,6,4,6,5,6,5,5,5,6,6,4,7,6,7,6,6,6,6,6,7,6,6,100,2,,4,4,5,4,4,4,5,4,2,2,3,2,5,5,4,4,4,5,3,3,6,5,6,6,5,5,6,6,6,5,4,3,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,1,3,1,1,1,1,1,2,1,1,3,2,2,3,2,4,1,1,1,4,5,3,6,4,5,5,2,3,3,3,6,6,1,1,1,2,3,4,3,4,3,3,1,2,2,2,2,3,3,1,4,2,2,3,4,4,4,4,2,2,4,3,3,3,4,3,4,3,4,4,4,4,4,3,4,3,1,1,1,4,4,4,5,4
7,1,1,3,20,1,6,6,5,5,3,4,4,6,5,3,4,3,3,4,5,5,3,6,3,1,4,1,5,5,6,3,6,6,4,5,6,5,5,5,4,4,6,6,5,4,5,5,4,4,5,3,2,2,5,5,5,4,5,5,80,2,,4,4,4,4,4,4,3,3,2,2,2,3,2,5,4,3,4,4,4,3,5,5,6,6,5,6,5,4,5,4,5,3,5,4,4,4,5,4,4,3,4,5,5,4,3,4,5,5,5,4,4,3,1,2,2,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,4,3,2,3,4,4,2,2,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,2,1,3,1,4,4,4,4,4
10,1,1,3,19,1,6,6,7,6,2,3,4,2,3,2,4,1,1,2,4,6,7,2,3,1,2,1,7,5,6,2,6,7,6,4,6,2,6,7,7,1,5,4,4,6,4,5,6,7,7,5,4,5,3,3,6,6,4,2,50,2,,5,4,4,2,5,3,5,3,2,1,1,6,2,5,4,5,4,5,4,1,4,5,5,6,5,6,3,5,5,6,6,6,6,3,4,4,2,4,3,3,3,5,4,5,2,4,4,4,5,5,5,5,2,3,1,3,3,4,5,3,5,4,1,2,1,1,2,2,1,2,1,1,4,1,2,4,1,4,2,4,1,5,1,1,1,1,1,5,3,1,1,6,7,6,1,1,1,2,4,3,3,4,2,4,1,1,2,1,1,1,1,1,2,2,2,2,3,5,4,3,2,3,3,4,3,3,3,4,4,4,3,2,4,3,5,2,3,2,2,3,1,4,5,4,5,5
13,1,2,3,20,1,6,6,6,5,4,3,6,7,6,4,4,5,5,3,5,4,5,6,5,2,4,3,7,3,7,5,6,6,4,5,4,3,5,5,6,1,7,7,7,6,7,7,5,6,7,6,4,6,7,7,7,7,6,5,70,2,,4,3,4,3,5,4,5,2,2,1,2,1,1,4,4,3,3,4,5,5,5,5,4,6,3,5,4,6,6,5,3,4,5,5,5,5,4,5,4,3,4,4,4,4,2,2,4,4,5,5,5,5,2,2,3,4,4,4,5,2,5,2,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,2,1,1,1,1,5,1,1,1,3,1,1,1,1,1,5,1,1,1,3,2,4,2,2,3,4,3,1,1,2,3,2,1,1,2,2,1,1,1,4,1,1,1,1,3,1,2,4,4,4,2,2,4,3,3,3,4,4,4,5,4,2,2,4,4,3,4,4
16,1,1,3,19,1,6,6,5,4,5,2,5,6,5,4,5,6,4,4,5,5,7,7,4,4,5,5,5,6,6,4,5,5,4,6,5,6,5,6,6,4,6,6,6,6,6,5,6,6,7,7,5,6,6,5,7,7,6,6,44,2,,5,4,4,4,5,4,3,3,2,2,3,5,3,4,4,5,5,6,5,2,6,5,5,5,6,5,5,6,5,4,5,5,5,5,4,4,4,4,3,4,5,5,5,4,3,4,5,5,4,4,4,4,3,3,4,3,3,4,4,3,3,3,2,1,1,1,1,2,1,1,1,1,3,1,2,2,1,2,1,1,1,2,3,4,3,3,1,2,3,1,4,4,5,5,3,3,3,3,4,4,4,3,3,3,2,2,2,3,2,4,3,2,4,2,2,3,3,4,2,2,2,3,3,2,3,4,4,4,3,2,4,3,4,3,4,5,5,4,5,4,2,4,4,5,4,5
19,1,1,3,18,1,5,6,6,5,1,1,5,6,1,1,2,1,1,1,2,1,6,5,1,1,1,1,6,7,7,2,6,5,6,5,6,6,6,6,6,2,6,2,1,1,1,1,6,7,7,7,5,5,6,6,6,7,7,7,7,2,,4,1,4,4,5,2,2,4,2,2,6,6,3,1,1,1,2,2,2,2,3,1,5,2,6,1,5,1,1,3,1,2,6,2,2,4,4,2,4,3,3,5,3,3,3,3,5,5,5,3,3,3,1,1,1,1,3,4,4,3,4,1,2,1,2,3,1,1,4,1,1,2,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,3,1,1,4,1,6,1,1,1,2,1,3,4,2,1,2,1,1,1,2,1,1,1,1,2,4,2,2,3,3,2,2,3,4,1,2,1,3,2,3,2,2,4,1,2,2,4,2,1,1,1,2,1,3,4,3,4,4
22,1,1,3,18,8,2,2,2,2,3,4,6,6,3,4,4,3,2,4,3,5,5,3,2,2,4,2,4,3,5,6,3,4,4,5,4,6,4,3,5,2,4,5,5,5,3,3,4,4,5,5,5,5,6,5,6,5,5,4,40,1,2,4,4,4,4,4,4,3,3,3,2,3,4,2,4,5,4,4,4,4,5,6,6,6,6,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,3,4,5,4,4,5,4,4,4,5,3,3,3,4,4,4,4,3,5,4,4,4,4,1,2,1,1,1,1,2,2,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,1,1,1,2,2,4,2,3,4,3,2,1,3,2,2,2,2,2,2,3,2,2,2,4,3,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,4,4,4,4,3,4,3,4,5,4,4,4
25,1,2,3,19,8,1,7,1,2,4,3,6,6,4,2,3,5,1,3,3,3,7,7,2,1,3,1,7,5,7,1,7,6,6,2,6,1,7,7,7,4,4,2,2,1,1,1,1,7,7,7,2,2,7,7,7,7,7,7,84,2,,4,3,4,3,5,5,4,5,5,1,5,5,4,3,4,3,1,4,4,4,4,6,5,5,4,3,5,1,3,4,3,2,3,2,3,4,4,3,3,3,4,3,3,3,2,2,4,4,3,4,4,3,2,2,1,3,2,3,2,3,3,3,2,1,1,1,1,1,1,2,1,1,1,1,4,1,1,4,1,2,1,6,3,3,3,3,5,6,,,3,1,5,6,6,4,4,2,4,2,4,1,4,3,1,1,3,4,2,4,3,2,2,4,2,2,2,4,4,2,2,4,4,4,3,4,2,3,2,2,4,4,3,3,4,3,3,3,1,2,1,3,3,3,4,4
28,1,1,3,20,1,2,2,3,3,5,3,5,6,2,4,5,6,5,3,4,4,6,7,5,1,6,1,7,7,7,2,6,6,6,5,6,2,5,5,6,2,5,5,6,6,6,4,4,6,6,6,5,5,6,6,7,7,6,6,29,2,,4,4,4,4,4,3,2,2,1,1,1,5,4,2,2,3,2,2,2,1,2,5,4,4,3,4,4,4,4,3,3,2,2,2,2,3,3,2,3,4,4,4,4,3,2,2,4,4,4,4,4,4,1,2,1,4,4,5,5,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,1,1,3,1,2,1,2,1,1,2,1,4,1,1,1,2,4,1,1,2,2,2,2,2,2,3,2,2,2,3,3,4,3,4,2,4,2,1,2,1,4,4,4,4,4
