PID,condition,dx_eczema,dx_barrier,dx_inflammatory,ruled_out_derm,ruled_out_psor,tx_steroid,tx_potency,tx_duration,tx_ftu,tx_frequency,tx_moisturiser,tx_alternatives,followup,n_elements_delivered
002,Patient-Centred,1,1,0,0,0,1,1,1,1,1,1,0,1,9
003,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
005,Patient-Centred,1,1,0,0,0,1,1,1,1,1,1,0,1,9
6,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
008,Patient-Centred,1,1,0,0,0,1,1,1,1,1,1,0,0,8
009,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
011,Patient-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
012,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
014,Patient-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
015,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
017,Patient-Centred,1,1,1,0,0,1,1,1,1,1,1,0,0,9
018,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
020,Patient-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
021,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
023,Patient-Centred,1,1,1,0,0,1,1,1,1,1,1,0,1,10
024,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
026,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
027,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
029,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
030,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
032,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
033,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
035,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
036,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
038,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
039,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
041,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
044,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
045,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
047,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
048,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
050,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
051,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
053,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
054,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
056,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
057,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
059,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
060,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
063,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
065,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
066,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
068,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
069,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
071,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
072,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
074,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
075,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
078,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
080,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
091,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
083,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
084,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
085,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
086,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
087,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
089,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
090,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
092,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
093,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
095,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
096,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
098,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
099,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
101,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,0,0,11
104,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
105,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
107,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
108,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
110,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
111,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
113,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
114,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
116,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
119,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
120,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
122,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
123,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
125,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
126,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
128,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
129,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
130,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
131,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
132,Task-Centred,0,0,1,0,0,1,1,1,1,1,1,1,1,9
133,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
134,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
137,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
138,Task-Centred,1,1,1,0,0,1,1,1,1,1,1,1,0,10
140,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
141,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
143,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
144,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
146,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
147,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
149,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
150,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
151,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
156,Task-Centred,1,1,1,1,1,1,0,0,0,0,0,1,0,7
158,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
159,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
161,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
164,Patient-Centred,1,1,1,1,1,1,1,1,1,1,1,1,0,12
165,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
166,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
167,Task-Centred,1,1,1,1,1,1,1,1,1,1,1,1,1,13
