term,z,characteristic_of
thank,9.27335978353799,Patient-Centred
like,8.730926455688191,Patient-Centred
anything,7.5348048716688405,Patient-Centred
know,6.924527322501596,Patient-Centred
let,6.690927484477628,Patient-Centred
you'd,6.342877619859534,Patient-Centred
glad,6.037753357726095,Patient-Centred
further,5.503089777053874,Patient-Centred
i'm,5.47961264124225,Patient-Centred
hear,5.42060488709983,Patient-Centred
you're,5.264041891998371,Patient-Centred
letting,5.2417492938957135,Patient-Centred
explain,5.092163793682967,Patient-Centred
explore,5.026476314316894,Patient-Centred
else,4.2652359485225695,Patient-Centred
feeling,4.108234654382688,Patient-Centred
help,3.9313641234939336,Patient-Centred
take,3.9313641234939336,Patient-Centred
sharing,3.737513410171792,Patient-Centred
understand,3.6679309394837745,Patient-Centred
feel,3.4794443751887796,Patient-Centred
consider,3.4045775122245416,Patient-Centred
good,3.399485223805509,Patient-Centred
care,3.3769929981306253,Patient-Centred
out,3.361137291620415,Patient-Centred
now,3.341970246326823,Patient-Centred
we'll,3.333430443785352,Patient-Centred
sound,3.333430443785352,Patient-Centred
light,3.2669144752886874,Patient-Centred
welcome,3.2524468586683177,Patient-Centred
course,3.1862539807765384,Patient-Centred
that's,3.0763367263862835,Patient-Centred
up,3.0480684084021354,Patient-Centred
therapy,3.013220769274443,Patient-Centred
alright,2.949665709738197,Patient-Centred
worse,2.931924437502317,Patient-Centred
i'll,2.90875936334494,Patient-Centred
possible,2.8460619316564304,Patient-Centred
right,2.838934722214333,Patient-Centred
fine,2.801113834891244,Patient-Centred
confirming,2.766351740261312,Patient-Centred
best,2.6834953731987436,Patient-Centred
moisturising,2.5234890345091983,Patient-Centred
keep,2.498506739751307,Patient-Centred
perfect,2.4604637586196128,Patient-Centred
few,2.413358246431035,Patient-Centred
ruled-out,2.3879460620451836,Patient-Centred
ask,2.349319181029594,Patient-Centred
differentials,2.339231416412471,Patient-Centred
get,2.3100261170139755,Patient-Centred
describe,2.2755233362489244,Patient-Centred
moment,2.2755233362489244,Patient-Centred
applying,2.197311843171067,Patient-Centred
start,2.1228161414314815,Patient-Centred
changes,2.0460172353231596,Patient-Centred
step,2.0460172353231596,Patient-Centred
alone,1.995679268267845,Patient-Centred
address,1.9235173702705934,Patient-Centred
through,1.9194253735449636,Patient-Centred
details,1.908910498300915,Patient-Centred
time,1.8953515187073466,Patient-Centred
times,1.88317410256101,Patient-Centred
work,1.88317410256101,Patient-Centred
needed,1.8571642154664738,Patient-Centred
focus,1.8571642154664738,Patient-Centred
need,1.8571642154664738,Patient-Centred
dry,1.8571642154664738,Patient-Centred
say,1.8000331665095883,Patient-Centred
feels,1.8000331665095883,Patient-Centred
sorry,1.8000331665095883,Patient-Centred
together,1.8000331665095883,Patient-Centred
make,1.7629945497350568,Patient-Centred
notice,1.7381173095660438,Patient-Centred
it's,1.73247778507802,Patient-Centred
follow,1.73247778507802,Patient-Centred
detail,1.7051350753668935,Patient-Centred
night,1.7051350753668935,Patient-Centred
inhibitors,1.6929786126433222,Patient-Centred
find,1.6604527859156086,Patient-Centred
new,1.6604527859156086,Patient-Centred
after,1.6532608093795014,Patient-Centred
itching,1.605977187297013,Patient-Centred
washing,1.5965119304657804,Patient-Centred
antihistamines,1.5965119304657804,Patient-Centred
day,1.5481757299321273,Patient-Centred
adjust,1.5368153827940618,Patient-Centred
note,1.5368153827940618,Patient-Centred
level,1.5368153827940618,Patient-Centred
calcineurin,1.5076793141532296,Patient-Centred
hope,1.5001256075820961,Patient-Centred
helps,1.3485132977962417,Patient-Centred
part,1.3485132977962417,Patient-Centred
oozing,1.3485132977962417,Patient-Centred
reducing,1.3240037003604774,Patient-Centred
mild,1.312112227160437,Patient-Centred
short,1.312112227160437,Patient-Centred
already,1.312112227160437,Patient-Centred
improve,1.312112227160437,Patient-Centred
aiming,1.312112227160437,Patient-Centred
proceeding,1.312112227160437,Patient-Centred
moisture,1.312112227160437,Patient-Centred
weeping,1.312112227160437,Patient-Centred
sometimes,1.312112227160437,Patient-Centred
steroids,1.195857299917578,Patient-Centred
application,1.1351888992638404,Patient-Centred
blisters,1.1351888992638404,Patient-Centred
begin,1.1351888992638404,Patient-Centred
tight,1.0854377198008045,Patient-Centred
you've,1.0854377198008045,Patient-Centred
immune,1.0854377198008045,Patient-Centred
spreading,1.0854377198008045,Patient-Centred
way,1.0854377198008045,Patient-Centred
common,1.0854377198008045,Patient-Centred
arrange,1.0854377198008045,Patient-Centred
concern,1.0854377198008045,Patient-Centred
frequent,1.0854377198008045,Patient-Centred
problem,1.0854377198008045,Patient-Centred
noticed,1.064517336000531,Patient-Centred
wet,1.058282242870276,Patient-Centred
wrap,1.058282242870276,Patient-Centred
certainly,1.0463444967139297,Patient-Centred
painful,0.9795840443619348,Patient-Centred
usually,0.9795840443619348,Patient-Centred
cracks,0.9716971447460543,Patient-Centred
effects,0.9535560226905089,Patient-Centred
